油管直播,#genre#
TVBS Live,http://192.168.31.99:35455/youtube/m_dhMSvUCIc
TVBS 56,http://192.168.31.99:35455/youtube/YvdcZ_jpLXE
TVBS新闻,http://192.168.31.99:35455/youtube/2mCSYvcfhtc
中天新闻,http://192.168.31.99:35455/youtube/oIgbl7t0S_w
三立新闻,http://192.168.31.99:35455/youtube/oZdzzvxTfUY
东森新闻,http://192.168.31.99:35455/youtube/S5WOGu2HSes
寰宇新闻,http://192.168.31.99:35455/youtube/B7Zp3d6xXWw
民视新闻,http://192.168.31.99:35455/youtube/ylYJSBUgaMA
华视新闻,http://192.168.31.99:35455/youtube/wM0g8EoUZ_E
公视新闻,http://192.168.31.99:35455/youtube/quwqlazU-c8
台视新闻,http://192.168.31.99:35455/youtube/xL0ch83RAK8
中视新闻,http://192.168.31.99:35455/youtube/TCnaIE_SAtM
中天新闻2台,http://192.168.31.99:35455/youtube/WPfPjbOLNfE
寰宇新闻台湾,http://192.168.31.99:35455/youtube/UcTIv4ZaE5Y
凤凰资讯台,http://192.168.31.99:35455/youtube/if6yQq_JJyY
东森直播,http://192.168.31.99:35455/youtube/R2iMq5LKXco
东森财经,http://192.168.31.99:35455/youtube/WHEPzbFA3hw
三立iNEWS,http://192.168.31.99:35455/youtube/CKjSm5ZeehE
三立海外,http://192.168.31.99:35455/youtube/FoBfXvlOR6I
TaiwanPlus,http://192.168.31.99:35455/youtube/dZp87qnWelE
镜新闻,http://192.168.31.99:35455/youtube/5n0y6b0Q25o
东京都-新宿,http://192.168.31.99:35455/youtube/DjdUEyjx8GM
台湾地震监视,http://192.168.31.99:35455/youtube/Owke6Quk7T0
新唐人,http://192.168.31.99:35455/youtube/WIhgU_mc05A
信大电视台,http://192.168.31.99:35455/youtube/AQymzwl3uSk
NBC NEW,http://192.168.31.99:35455/youtube/0IUbD_4ytuo
DW,http://192.168.31.99:35455/youtube/pqabxBKzZ6M
FRANCE 24,http://192.168.31.99:35455/youtube/h3MuIUNCCzI
Sky News,http://192.168.31.99:35455/youtube/9Auq9mYxFEE
ABC News,http://192.168.31.99:35455/youtube/w_Ma8oQLmSM
Euronews,http://192.168.31.99:35455/youtube/pykpO5kQJ98
CNA,http://192.168.31.99:35455/youtube/XWq5kBlakcQ
National Geographic,http://192.168.31.99:35455/youtube/306xLRnW3Cc
Nat Geo WILD,http://192.168.31.99:35455/youtube/6zGV59Ldp3s
ANIMALS OF AFRICA 4K,http://192.168.31.99:35455/youtube/XHI_U7suyxg
GREAT HUNTER - 4K,http://192.168.31.99:35455/youtube/vQP8AwAFzI8
Most Beautiful Places 12K,http://192.168.31.99:35455/youtube/Rse-E5tARaY
4K African Animal,http://192.168.31.99:35455/youtube/rkPCR6Ujtak

码上油管,#genre#
三立INEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
寰宇新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
MOMO1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
MOMO2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
运通财经,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV06.m3u8
信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
DWNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
华视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
半岛阿拉伯,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
ANNNews,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV15.m3u8
K-POP,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
民视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
CCTV4中文国际,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8
凤凰资讯,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
ABCNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8
台视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
天才冲冲冲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
ASTROAWANI,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV27.m3u8
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
东京涩谷,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV29.m3u8
大爱,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
TVBS网路新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
三立NEWS+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
CBNNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
INDIATODAY,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV36.m3u8
FRANCE24,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV38.m3u8
NBCNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV39.m3u8
凤凰中文,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
TBSNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV45.m3u8
大爱2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
ANNNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV48.m3u8
中天新闻「循环」,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
CNA,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV52.m3u8
HTBNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV53.m3u8
国会频道1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV56.m3u8
国会频道2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV57.m3u8
123GOLIVE,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV58.m3u8
半岛新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV59.m3u8
KBSNEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV61.m3u8
KANSAINEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV62.m3u8
东森幼幼歌曲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
小猪佩奇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV64.m3u8
动画1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV65.m3u8
动画2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV66.m3u8
儿童歌曲1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV67.m3u8
儿童歌曲2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV68.m3u8
镜新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV71.m3u8
CRUX,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV72.m3u8
TimesNetwork,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV74.m3u8
八大电视,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV75.m3u8
舒缓音乐,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV77.m3u8
Taiwan+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8

BesTV,#genre#
CCTV1,http://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,http://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,http://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4,http://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,http://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+,http://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,http://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,http://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,http://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,http://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,http://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,http://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,http://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,http://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
